id,movie_title,rating,year,rank,star_cast,newtitle
137,Pan's Labyrinth,8.162205718,2006,137,Guillermo del Toro (dir.); Ivana Baquero; Ariadna Gil,Dil Dhadakne Do
138,Unforgiven,8.161273901,1992,138,Clint Eastwood (dir.); Clint Eastwood; Gene Hackman,Humpty Sharma Ki Dulhania
139,There Will Be Blood,8.158188914,2007,139,Paul Thomas Anderson (dir.); Daniel Day-Lewis; Paul Dano,Gadar: Ek Prem Katha
140,The Truman Show,8.156166399,1998,140,Peter Weir (dir.); Jim Carrey; Ed Harris,Baaghi
141,Spider-Man: No Way Home,8.153975662,2021,141,Jon Watts (dir.); Tom Holland; Zendaya,Housefull
142,The Sixth Sense,8.153635718,1999,142,M. Night Shyamalan (dir.); Bruce Willis; Haley Joel Osment,Neerja
143,A Beautiful Mind,8.151923035,2001,143,Ron Howard (dir.); Russell Crowe; Ed Harris,Lage Raho Munna Bhai
144,Yôjinbô,8.149487342,1961,144,Akira Kurosawa (dir.); Toshirô Mifune; Eijirô Tôno,Ram Setu
145,Monty Python and the Holy Grail,8.149383642,1975,145,Terry Gilliam (dir.); Graham Chapman; John Cleese,Andhadhun
146,Shutter Island,8.147973169,2010,146,Martin Scorsese (dir.); Leonardo DiCaprio; Emily Mortimer,Dhadak
147,The Treasure of the Sierra Madre,8.147917992,1948,147,John Huston (dir.); Humphrey Bogart; Walter Huston,Street Dancer 3D
148,Jurassic Park,8.145852283,1993,148,Steven Spielberg (dir.); Sam Neill; Laura Dern,Kapoor & Sons
149,Rashômon,8.141859147,1950,149,Akira Kurosawa (dir.); Toshirô Mifune; Machiko Kyô,Hum Aapke Hain Koun..!
150,The Great Escape,8.141487371,1963,150,John Sturges (dir.); Steve McQueen; James Garner,Entertainment
151,Kill Bill: Vol 1,8.137938055,2003,151,Quentin Tarantino (dir.); Uma Thurman; David Carradine,Krrish
152,No Country for Old Men,8.137336915,2007,152,Ethan Coen (dir.); Tommy Lee Jones; Javier Bardem,Cocktail
153,Finding Nemo,8.131486691,2003,153,Andrew Stanton (dir.); Albert Brooks; Ellen DeGeneres,Student Of The Year 2
154,The Thing,8.129796345,1982,154,John Carpenter (dir.); Kurt Russell; Wilford Brimley,Khiladi 786
155,The Elephant Man,8.12971158,1980,155,David Lynch (dir.); Anthony Hopkins; John Hurt,Welcome
156,Chinatown,8.12832429,1974,156,Roman Polanski (dir.); Jack Nicholson; Faye Dunaway,Dishoom
157,Raging Bull,8.127330733,1980,157,Martin Scorsese (dir.); Robert De Niro; Cathy Moriarty,Student Of The Year
158,Gone with the Wind,8.124448651,1939,158,Victor Fleming (dir.); Clark Gable; Vivien Leigh,Raaz 3
159,V for Vendetta,8.124213317,2005,159,James McTeigue (dir.); Hugo Weaving; Natalie Portman,Hindi Medium
160,Inside Out,8.122540429,2015,160,Pete Docter (dir.); Amy Poehler; Bill Hader,Kedarnath
161,Lock; Stock and Two Smoking Barrels,8.121640291,1998,161,Guy Ritchie (dir.); Jason Flemyng; Dexter Fletcher,Dear Zindagi
